Brand,Model,Price,RAM,Storage,Battery,DisplaySize,RefreshRate,Processor,CameraMP,FrontCameraMP,OS,HeadphoneJack,FiveG,WaterResistance,URL,Description,SpecsSummary
Samsung,Galaxy S25 Ultra,1599,12,256,5000,174.2,120,Octa-Core,200,12,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-s25-ultra/,"Discover the ultimate smartphone experience with the Samsung Galaxy S25 Ultra. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Photography enthusiasts will love the massive 200MP main camera sensor, featuring advanced optical zoom, night mode, telephoto lens capabilities, and 8K video recording. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy S25 Ultra | 256GB Storage | 12GB RAM | 174.2mm Display | 120Hz | 200MP Camera | 5000mAh | Android | 5G: True
Samsung,Galaxy S25,999,12,128,4000,156.4,120,Octa-Core,50,12,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-s25/,"Discover the ultimate smartphone experience with the Samsung Galaxy S25. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy S25 | 128GB Storage | 12GB RAM | 156.4mm Display | 120Hz | 50MP Camera | 4000mAh | Android | 5G: True
Samsung,Galaxy S25 Edge,1099,12,256,3900,169.1,120,Octa-Core,200,12,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-s25-edge/,"Discover the ultimate smartphone experience with the Samsung Galaxy S25 Edge. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Photography enthusiasts will love the massive 200MP main camera sensor, featuring advanced optical zoom, night mode, telephoto lens capabilities, and 8K video recording. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy S25 Edge | 256GB Storage | 12GB RAM | 169.1mm Display | 120Hz | 200MP Camera | 3900mAh | Android | 5G: True
Samsung,Galaxy Z Fold 7,1899,12,256,4400,203.1,120,Octa-Core,200,10,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-z-fold7/,"Discover the ultimate smartphone experience with the Samsung Galaxy Z Fold 7. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Photography enthusiasts will love the massive 200MP main camera sensor, featuring advanced optical zoom, night mode, telephoto lens capabilities, and 8K video recording. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy Z Fold 7 | 256GB Storage | 12GB RAM | 203.1mm Display | 120Hz | 200MP Camera | 4400mAh | Android | 5G: True
Samsung,Galaxy Z Flip 7,1199,12,256,4300,174.1,120,Deca-Core,50,10,Android,False,True,True,https://www.samsung.com/ca/smartphones/galaxy-z-flip7/,"Discover the ultimate smartphone experience with the Samsung Galaxy Z Flip 7. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Deca-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Samsung Galaxy Z Flip 7 | 256GB Storage | 12GB RAM | 174.1mm Display | 120Hz | 50MP Camera | 4300mAh | Android | 5G: True
Google,Google Pixel 10a,679,8,128,5100,160.0,120,Octa-Core,48,13,Android,False,True,True,https://www.gsmarena.com/google_pixel_10a_5g-14474.php,"Discover the ultimate smartphone experience with the Google Google Pixel 10a. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 10a | 128GB Storage | 8GB RAM | 160.0mm Display | 120Hz | 48MP Camera | 5100mAh | Android | 5G: True
Google,Google Pixel 10 Pro,1100,16,128,4870,160.0,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_pro_5g-13987.php,"Discover the ultimate smartphone experience with the Google Google Pixel 10 Pro. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 16GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 10 Pro | 128GB Storage | 16GB RAM | 160.0mm Display | 120Hz | 50MP Camera | 4870mAh | Android | 5G: True
Google,Google Pixel 10,679,12,128,4970,160.0,120,Octa-Core,48,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_5g-13979.php,"Discover the ultimate smartphone experience with the Google Google Pixel 10. This premium mid-range smartphone balances incredible flagship features with excellent value. Capture stunning photos and 4K video with the high-resolution 48MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 10 | 128GB Storage | 12GB RAM | 160.0mm Display | 120Hz | 48MP Camera | 4970mAh | Android | 5G: True
Google,Google Pixel 7 Pro,315,8,128,5000,170.2,120,Octa-Core,50,8,Android,False,True,True,https://www.gsmarena.com/google_pixel_7_pro-11908.php,"Discover the ultimate smartphone experience with the Google Google Pixel 7 Pro. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 8GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 7 Pro | 128GB Storage | 8GB RAM | 170.2mm Display | 120Hz | 50MP Camera | 5000mAh | Android | 5G: True
Google,Google Pixel 10 Pro XL,1299,16,256,5200,172.7,120,Octa-Core,50,42,Android,False,True,True,https://www.gsmarena.com/google_pixel_10_pro_xl_5g-13988.php,"Discover the ultimate smartphone experience with the Google Google Pixel 10 Pro XL. As a premium flagship device, it offers uncompromising performance, top-tier build quality, and cutting-edge technology. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Never worry about a dead phone again thanks to the massive all-day battery life, complete with ultra-fast charging to get you back to 100% in minutes. Powered by a blazing-fast Octa-Core processor, 16GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 10 Pro XL | 256GB Storage | 16GB RAM | 172.7mm Display | 120Hz | 50MP Camera | 5200mAh | Android | 5G: True
Google,Google Pixel 9,552,12,128,4700,160.0,120,Octa-Core,50,5,Android,False,True,True,https://www.gsmarena.com/google_pixel_9-13219.php,"Discover the ultimate smartphone experience with the Google Google Pixel 9. An outstanding budget-friendly smartphone that delivers reliable performance without breaking the bank. Capture stunning photos and 4K video with the high-resolution 50MP AI-powered camera system, perfect for social media and everyday photography. Gamers and power users will appreciate the buttery-smooth 120Hz OLED display, offering lightning-fast touch response, deep blacks, and immersive esports gaming performance. Enjoy reliable all-day battery life that keeps up with your busy schedule, supporting fast charging and efficient power management. Powered by a blazing-fast Octa-Core processor, 12GB of RAM, and blazing-fast 5G connectivity, multitasking is effortless. Plus, with IP68 water and dust resistance, your device is durable enough to survive accidental spills and drops.",Google Google Pixel 9 | 128GB Storage | 12GB RAM | 160.0mm Display | 120Hz | 50MP Camera | 4700mAh | Android | 5G: True
